IdDominio,Texto,IdLengua,Texto,IdRasgo,Texto,IdValorRasgo,Texto
3,Estructura Argumental ,14,Millcayac,12,alineamiento intransitivo-transitivo (flaggi),6,Split (neutro y nom-acc)
3,Estructura Argumental ,14,Millcayac,13,alineamiento transitivo-ditransitivo (flaggi),6,Split (indirectivo y secundativo)
3,Estructura Argumental ,14,Millcayac,6,Codificación de S en el sustantivo ,1,sufijo nominal
3,Estructura Argumental ,14,Millcayac,1,Codificación de A en el sustantivo ,1,sufijo nominal
3,Estructura Argumental ,14,Millcayac,2,Doble marcación de argumentos ,1,Presencia
3,Estructura Argumental ,14,Millcayac,14,Codificación de P en el sustantivo ,3,ambas (caso y sin marca)
3,Estructura Argumental ,14,Millcayac,15,Marcación de T en el sustantivo ,2,Sin marca
3,Estructura Argumental ,14,Millcayac,16,Marcación de R en el sustantivo ,1,sufijo nominal
3,Estructura Argumental ,15,Allentiac,3,Alineamiento intransitivo transitivo,1,nominativo acusativo (A=S≠P)
3,Estructura Argumental ,15,Allentiac,4,Alineamiento transitivo ditransitivo,2,secundativo o de objeto secundario (T≠P)
3,Estructura Argumental ,15,Allentiac,5,fusión de argumentos,2,no fusión
3,Estructura Argumental ,15,Allentiac,7,Codificación de S,1,Sufijo verbal
3,Estructura Argumental ,15,Allentiac,8,Codificación de A,1,Sufijo verbal
3,Estructura Argumental ,15,Allentiac,9,Codificación de P ,2,prefijo verbal
3,Estructura Argumental ,15,Allentiac,10,Codificación de T,1,sin marca
3,Estructura Argumental ,15,Allentiac,11,Codificación de R,2,prefijo verbal
3,Estructura Argumental ,15,Allentiac,12,alineamiento intransitivo-transitivo (flaggi),6,Split (neutro y nom-acc)
3,Estructura Argumental ,15,Allentiac,13,alineamiento transitivo-ditransitivo (flaggi),6,Split (indirectivo y secundativo)
3,Estructura Argumental ,15,Allentiac,6,Codificación de S en el sustantivo ,1,sufijo nominal
3,Estructura Argumental ,15,Allentiac,1,Codificación de A en el sustantivo ,1,sufijo nominal
3,Estructura Argumental ,15,Allentiac,2,Doble marcación de argumentos ,1,Presencia
3,Estructura Argumental ,15,Allentiac,14,Codificación de P en el sustantivo ,3,ambas (caso y sin marca)
3,Estructura Argumental ,15,Allentiac,15,Marcación de T en el sustantivo ,2,Sin marca
3,Estructura Argumental ,15,Allentiac,16,Marcación de R en el sustantivo ,1,sufijo nominal
3,Estructura Argumental ,16,Selknam,3,Alineamiento intransitivo transitivo,2,ergativo absolutivo (A≠S=P)
3,Estructura Argumental ,16,Selknam,4,Alineamiento transitivo ditransitivo,2,secundativo o de objeto secundario (T≠P)
3,Estructura Argumental ,16,Selknam,5,fusión de argumentos,2,no fusión
3,Estructura Argumental ,16,Selknam,7,Codificación de S,1,Sufijo verbal
3,Estructura Argumental ,16,Selknam,8,Codificación de A,1,Sufijo verbal
3,Estructura Argumental ,16,Selknam,9,Codificación de P ,2,prefijo verbal
3,Estructura Argumental ,16,Selknam,10,Codificación de T,1,sin marca
3,Estructura Argumental ,16,Selknam,11,Codificación de R,2,prefijo verbal
3,Estructura Argumental ,16,Selknam,12,alineamiento intransitivo-transitivo (flaggi),1,neutro
3,Estructura Argumental ,16,Selknam,13,alineamiento transitivo-ditransitivo (flaggi),1,neutro
3,Estructura Argumental ,16,Selknam,6,Codificación de S en el sustantivo ,2,Sin marca
3,Estructura Argumental ,16,Selknam,1,Codificación de A en el sustantivo ,2,Sin marca
