Lexema;Significado                                                                                                                                                                                    
ckaratchi; viruelas                                                                                                                                                                                   
ckaratur; cortar, quebrar                                                                                                                                                                             
ckarayin; acostarse de lado (cfr ckarao)                                                                                                                                                              
ckari; nuevo, verde                                                                                                                                                                                   
ckarickstur; escarcha                                                                                                                                                                                 
ckarisur; peine                                                                                                                                                                                       
ckaru; lado, costado                                                                                                                                                                                  
ckarupstur; astilla                                                                                                                                                                                   
ckasantur; moler                                                                                                                                                                                      
ckasmas; apellido de 1616                                                                                                                                                                             
ckas; hondanada                                                                                                                                                                                       
ckasmis; apellido de 1611                                                                                                                                                                             
ckaspa; casi, cuasi                                                                                                                                                                                   
ckaspana; anexo de chiuchiu (rad. ckas- pana hijo de la hondanada)                                                                                                                                    
ckas-sa; portillo                                                                                                                                                                                     
ckastur; abrir (rad ckas-sa)                                                                                                                                                                          
ckatasencul; otra vez, más tarde                                                                                                                                                                      
ckatalnatur; aplastar                                                                                                                                                                                 
ckatat; apellido de 1622                                                                                                                                                                              
ckatcha; apestado, enfermo de viruelas                                                                                                                                                                
ckatchacka; áspero, terreno muy pedregoso (rad ckaitchi)                                                                                                                                              
ckatchacktur; zafarse                                                                                                                                                                                 
ckatchatur; trasquilar                                                                                                                                                                                
ckatchbi; el                                                                                                                                                                                          
ckatchcka; cascarañas                                                                                                                                                                                 
ckatchi; aquel (allí) (también ckatchil por alla / ckatchips id=                                                                                                                                      
ckatchir; chicha de maíz, dulce                                                                                                                                                                       
ckatchi- rutaino; el año pasado                                                                                                                                                                       
ckatchirckotch; aquellos                                                                                                                                                                              
ckatchunti; hoz                                                                                                                                                                                       
ckati; piel                                                                                                                                                                                           
ckatitchauña; imposible                                                                                                                                                                               
ckatir; cuero                                                                                                                                                                                         
ckatnatur; volver, remangarse, revolverse, descubrirse, desnudarse                                                                                                                                    
ckatnu; seno                                                                                                                                                                                          
ckatta; hoja                                                                                                                                                                                          
ckatu; roca, peña                                                                                                                                                                                     
ckatur; llamar                                                                                                                                                                                        
ckatur; cuero                                                                                                                                                                                         
ckauckaitur; asar                                                                                                                                                                                     
ckausama; vida                                                                                                                                                                                        
ckausatur; vivir, resuscitar                                                                                                                                                                          
ckautcha; hierba parecida a la malva                                                                                                                                                                  
ckauti; huevo                                                                                                                                                                                         
ckaya; bien, bueno                                                                                                                                                                                    
ckayaritur; empezar                                                                                                                                                                                   
ckayatar; sanar (cfr. ckaya)                                                                                                                                                                          
ckai-yi; talón                                                                                                                                                                                        
cke; muy, mucho                                                                                                                                                                                       
ckeba; marimacho                                                                                                                                                                                      
ckebi; aluvion                                                                                                                                                                                        
ckedúdama; duda                                                                                                                                                                                       
ckeetchi; encima                                                                                                                                                                                      
ckeelas; planta o arbusto llamado tambien ckatchi-yuyo                                                                                                                                                
ckees; medio                                                                                                                                                                                          
ckeit-tchu; liendre                                                                                                                                                                                   
ckein-tcha; seco                                                                                                                                                                                      
ckeitin; techo                                                                                                                                                                                        
ckelar; brasa, fuego                                                                                                                                                                                  
ckeleckelte; planta espinuda llamada también candial                                                                                                                                                  
ckeleutch-auña; nunca                                                                                                                                                                                 
ckeli; silla de montar, también el avío o comida que va colgando de la silla en alforjas                                                                                                              
ckelinar; aire, atmósfera                                                                                                                                                                             
ckeltchar; verdad                                                                                                                                                                                     
ckelti; nervio                                                                                                                                                                                        
ckeltur; cardo                                                                                                                                                                                        
ckemptur; usar                                                                                                                                                                                        
ckénia; diente                                                                                                                                                                                        
ckenni; uña                                                                                                                                                                                           
ckentchayacke; destemplar                                                                                                                                                                             
ckentchockol; encías                                                                                                                                                                                  
ckentur; valor                                                                                                                                                                                        
ckepar; faja                                                                                                                                                                                          
ckepe, ckepi; ojo                                                                                                                                                                                     
ckepininar; mal de ojo, maleficio                                                                                                                                                                     
ckepininai; pupila, niña del ojo                                                                                                                                                                      
ckepinumar; tuerto                                                                                                                                                                                    
ckepipu; lágrima                                                                                                                                                                                      
ckepisinna; pestañas                                                                                                                                                                                  
ckepitarana; lo blanco del ojo                                                                                                                                                                        
ckepnitur; despertar                                                                                                                                                                                  
ckeppar; cinturon                                                                                                                                                                                     
ckeptur; sacar                                                                                                                                                                                        
