Name;GLOTTOCODE;ISOCODE
Rutul (Mukhrek) dialect;ixre1238;rut
Rutul (Shinaz dialect);shin1265;rut
Bezhta (Tlyadal dialect, Karauzek subdialect);tlya1238;kap
Tsakhur (Gelmets dialect);tsak1249;tkr
Tsova-Tush;bats1242;bbl
Archi (variety 2);arch1244;aqc
Bengali;beng1280;ben
Hindi;hind1269;hin
Khasi;khas1269;kha
Mahasu Pahari (Kotghari dialect);maha1287;bfz
Marathi;mara1378;mar
Nepali;east1436;nep
Punjabi;west2386;pnb
Tamil;tami1289;tam
Telugu;telu1262;tel
Tibetan;tibe1272;bod
Kme-2 (Kemie variety);manm1238;
Bulang;blan1242;
Bulang-2;blan1242;
Bulang-3;blan1242;
Keme (Kemie variety);manm1238;
Xu;huuu1240;
Mang'an B. (MNN);;
Wa;nucl1290;Zhenkang Wa
Rumai;ruma1248;Rumai Palaung
Prai;phai1238;Prai
Pusing;bitt1240;Bit
Paliu;boly1239;Bolyu
PLW (a Palaung variety);pala1336;Palaung
DEA (a Palaung variety);pala1336;Palaung
Mlabri;mlab1235;Mlabri
Cuoi;cuoi1242;Cuoi
Vietnamese;viet1252;Vietnamese
Hanoi Vn;nort2683;Northern Vietnamese
Tho Mun (THM);;
LiHa;cuoi1242;Cuoi
Phong;phon1246;Phong-Kniang
TUL;;
Tum;cuoi1242;Cuoi
Chut (Ruc variety);rucc1239;Ruc
Phu Tho M (PHU);;
Kha Poong;khap1242;Kha Phong
Malieng;mali1278;Malieng
Ahlao (Thavung);aheu1239;Thavung
Thavung So;aheu1239;Thavung
Nyakur;nyah1250;Nyahkur
Pear;pear1247;Pear
SAN;;
Kasong;suoy1242;Suoy
Samre;somr1240;Somray of Battambang-Somre of Siem Reap
Chong;chon1284;Chong of Chanthaburi
KNB (a Pearic variety);west2394;Western Pearic
Surin Khmer;suri1265;Surin
CHNG (a Pearic variety);west2394;Western Pearic
Iduh;oduu1239;O'du
Mang Ch;mang1378;Mang
Mang VN;mang1378;Mang
