GLOTTOCODE;Name;ISOCODE
akac1240;Akacari;aci
akaj1239;Akajeru;akj
akak1251;Akakora;ack
akak1252;Akakede;akx
akak1253;Akakol;aky
akak1254;Aka-Kelo-Molo;
akal1238;Aka Lel;
akam1238;Akamkpa-Ejagham;
akan1248;Akani;
akan1250;Akan;aka
akan1251;Akanic;
akar1243;Akarbale;acl
akar1244;Akarre;
akas1241;Akassa;
akas1242;Akaselem;aks
akaw1239;Akawaio-Ingariko;ake
akaw1241;Akawaio;
akeb1238;Akebu;keu
akee1238;Ake;aik
akei1237;Akei;tsr
akel1234;Akeleic;
akel1235;Akelel;
aker1238;Akerre;
akeu1235;Akeu;aeu
akha1245;Akha;ahk
akha1246;Akhaic;
akhm1237;Akhmimic;
akho1238;Akhoe;
akht1238;Akhty;
akhv1239;Akhvakh;akv
akib1234;Akiblik;
akii1238;Aki;
akim1239;Akimel O'odham;
akit1240;Akita;
akka1237;Akkala Saami;sia
akka1240;Akkadian;akk
akkk1240;Ak;akq
akla1240;Aklanon;akl
akla1241;Kailibo Aklanon;
aknn1239;Akn;
akol1237;Akolet;akt
akon1238;Akono;
akoo1247;Ako;
akoo1248;Akoose;bss
akoo1249;Ako (Atlantic-Congo);
akoo1250;Ako (Indonesia);
akoy1238;Akoye;miw
akpa1238;Akpa;akf
akpa1243;Akpafu;
akpe1247;Akpe;
akpe1248;Akpes;ibe
akpe1249;Akpes-Edoid;
akpo1242;Akpo-Mgbu-Tolu;
akpo1243;Akpondu;
akre1239;Akre;
akru1241;Chini;afi
aksa1237;Wellington Kawésqar;
akua1239;Akuapem;
akuk1235;Akuku;ayk
akum1238;Akum;aku
akum1239;Akum-Beezen;
akun1239;Akunnu;
akun1241;Akuntsu;aqz
akun1243;Corumbiara;
akur1238;Akurio;ako
akus1238;Akusha;
akwa1247;Akwa (Nigeria);
akwa1248;Akwa;akw
akwa1249;Akwanga;
akya1234;Akyaung Ari Naga;nqy
akye1239;Akyem Bosome;
alab1237;Alabama;akz
alab1246;Alabat Island Agta;dul
alab1247;Alabaman-Koasati;
alab1254;Alaba-K'abeena;alw
alab1255;Alabat-Manide Agta;
alab1256;Alabugat Tatar;
alac1239;Alacalufe-Austral;
alac1240;Alacalufe-Central;
alac1244;Alacatlatzala Mixtec;mim
alad1239;Alada;
alag1242;Alago;ala
alag1243;Alag-Bako;
alag1248;Alagwa;wbj
alag1249;Alaguilac;
alak1252;Alakong;
alak1253;Alak;alk
alak1254;Alakaman;
alam1246;Alamblak;amp
alan1247;Åland Islands Swedish;
alan1248;Alangua;
alan1249;Alangan;alj
alan1250;Alango;
alap1235;Alapmunte;apv
alar1239;Alar;
alas1253;Alasai;
alas1254;Alas;
alas1256;Alasha Oirad;
alas1257;Alaskan Kutchin;
alat1245;Alatening;
alat1246;Alatesu;
alaw1244;Alawa;alh
alay1234;Alaya-Athima;
alba1267;Albanian;sqi
alba1268;Albanian-Tosk;
alba1269;Inland-Buhi-Daraga Bikol;bhk
alba1270;Albany River Ojibwa;
alba1271;Albanian Sign Language;sqk
alba1272;Albatross Bay;
alca1237;Alcantaranon;
alca1238;Alcantara Aklanon;
alco1235;Alcozauca Mixtec;xta
alec1238;Alechuxa;
aleg1238;Alege;alf
alek1238;Alekano;gah
alem1243;Alemannic;
alep1237;Alepa;
alep1241;Aleppo;
alep1242;Aleppo Kurmanji;
aleu1260;Aleut;ale
aleu1261;Aleutic;
alew1234;Alewai;
alfo1240;Alfold;
alga1234;'Algaden;
alge1235;Algerian Sign Language;asp
alge1239;Algerian Arabic;arq
alge1240;Algerian Saharan Arabic;aao
alge1241;Alger Judeo-Arabic;
algh1238;Algherese;
algi1247;Algiers;
algi1248;Algic;
algo1255;Algonquin;alq
algo1256;Algonquian-Blackfoot;
algo1257;Algonquian;
alha1241;Al-Hasaa;
alha1242;Al-Hasâ;
alia1238;Aliap;
alif1238;Alifokpa;
alig1238;Aligarh;
alii1240;Ali;aiy
alii1241;Ali (Papua New Guinea);
alil1239;Alile;
alin1238;Alingar;
alip1234;Alipur Sign Language;
alit1234;Ali-Tumleo;
aliw1234;Aliwal North;
alla1246;Allagir;
alla1247;Allar;all
alla1248;Alladian;ald
alla1249;Allang;
alla1250;Allaikha;
alle1238;Allentiac;
alll1234;Ål;
almu1234;al-Murrah-Ajman;
alng1239;Alngith;aid
aloa1235;Aloápam Zapotec;zaq
aloa1239;Aloa;
alop1235;Alo Phola;ypo
alor1246;Alor (Nilotic);
alor1247;Alorese;aol
alor1249;Alor-Pantar;
alor1250;Alor;
alor1252;Alor Malay;
alpi1238;Alpine Lombard;
alqo1238;Christian Alqosh;
alsa1241;Alsatian;
alsa1242;Al-Sayyid Bedouin Sign Language;syy
alse1251;Alsea-Yaquina;aes
alse1252;Alsea;
alta1277;Altai-Kizi;
alta1279;Altai Torguud;
alta1280;Altai Uriankhai;
alto1237;Alto Navarro Meridional;
alto1238;Alto Navarro Septentrional;
alto1249;Alto Orinoco;
alto1250;Medio Rio Negro;
alts1234;Altsächsisch;
alug1235;Alugu;aub
aluk1238;Alu Kurumba;xua
aluk1239;Aluku;
alum1246;Alumu-Tesu;aab
alum1247;Alumu;
alum1248;Alumbis;
alum1249;Alumic;
alum1250;Alumu-Toro;
alum1251;Alumu-Akpondu;
alun1238;Alune;alp
aluo1235;Aluo;yna
alur1249;Aluru;
alur1250;Alur;alz
alut1245;Alutor;alr
alut1246;Alutorskij;
aluu1242;Aluu;
aluu1243;Alu;
alvi1241;Alviri-Vidari;avd
alvi1242;Alvir;
alya1239;Alyawarr;aly
alyk1238;Alyk;
amad1240;Amadiye Kurdish;
amad1244;Amadiya Jewish Neo-Aramaic;
amah1245;Amahai;amq
amah1246;Amahuaca;amc
amai1246;Amaimon;ali
amai1247;Amaizuho;
amal1242;Amal;aad
