Glottocode;ISO6393;LanguageName
kuru1302;kru;Kurukh
kuru1302;kru;Kurukh
kuru1302;kru;Kurukh
kuru1302;kru;Kurukh
kuru1302;kru;Kurukh
kuru1302;kru;Kurukh
kuru1302;kru;Kurukh
kuru1302;kru;Kurukh
kuru1302;kru;Kurukh
kuru1302;kru;Kurukh
kuru1302;kru;Kurukh
kuru1302;kru;Kurukh
kuru1302;kru;Kurukh
kuru1302;kru;Kurukh
kuru1302;kru;Kurukh
kuru1302;kru;Kurukh
kuru1302;kru;Kurukh
kuru1302;kru;Kurukh
kuru1302;kru;Kurukh
kuru1302;kru;Kurukh
kuru1302;kru;Kurukh
kuru1302;kru;Kurukh
kuru1302;kru;Kurukh
kuru1302;kru;Kurukh
kuru1302;kru;Kurukh
kuru1302;kru;Kurukh
kuru1302;kru;Kurukh
kuru1302;kru;Kurukh
kuru1302;kru;Kurukh
kuru1302;kru;Kurukh
kuru1302;kru;Kurukh
kuru1302;kru;Kurukh
kuru1302;kru;Kurukh
kuru1302;kru;Kurukh
telu1262;tel;Telugu
telu1262;tel;Telugu
telu1262;tel;Telugu
telu1262;tel;Telugu
telu1262;tel;Telugu
telu1262;tel;Telugu
telu1262;tel;Telugu
telu1262;tel;Telugu
telu1262;tel;Telugu
telu1262;tel;Telugu
telu1262;tel;Telugu
telu1262;tel;Telugu
telu1262;tel;Telugu
telu1262;tel;Telugu
telu1262;tel;Telugu
telu1262;tel;Telugu
telu1262;tel;Telugu
telu1262;tel;Telugu
telu1262;tel;Telugu
telu1262;tel;Telugu
telu1262;tel;Telugu
telu1262;tel;Telugu
telu1262;tel;Telugu
telu1262;tel;Telugu
telu1262;tel;Telugu
telu1262;tel;Telugu
telu1262;tel;Telugu
telu1262;tel;Telugu
telu1262;tel;Telugu
telu1262;tel;Telugu
telu1262;tel;Telugu
telu1262;tel;Telugu
telu1262;tel;Telugu
telu1262;tel;Telugu
telu1262;tel;Telugu
telu1262;tel;Telugu
telu1262;tel;Telugu
telu1262;tel;Telugu
telu1262;tel;Telugu
telu1262;tel;Telugu
telu1262;tel;Telugu
telu1262;tel;Telugu
telu1262;tel;Telugu
telu1262;tel;Telugu
telu1262;tel;Telugu
telu1262;tel;Telugu
telu1262;tel;Telugu
telu1262;tel;Telugu
telu1262;tel;Telugu
telu1262;tel;Telugu
telu1262;tel;Telugu
telu1262;tel;Telugu
telu1262;tel;Telugu
telu1262;tel;Telugu
telu1262;tel;Telugu
telu1262;tel;Telugu
telu1262;tel;Telugu
telu1262;tel;Telugu
telu1262;tel;Telugu
telu1262;tel;Telugu
telu1262;tel;Telugu
telu1262;tel;Telugu
telu1262;tel;Telugu
telu1262;tel;Telugu
telu1262;tel;Telugu
telu1262;tel;Telugu
telu1262;tel;Telugu
telu1262;tel;Telugu
kota1263;kfe;Kota
kota1263;kfe;Kota
kota1263;kfe;Kota
kota1263;kfe;Kota
kota1263;kfe;Kota
kota1263;kfe;Kota
kota1263;kfe;Kota
kota1263;kfe;Kota
kota1263;kfe;Kota
kota1263;kfe;Kota
kota1263;kfe;Kota
kota1263;kfe;Kota
kota1263;kfe;Kota
kota1263;kfe;Kota
kota1263;kfe;Kota
kota1263;kfe;Kota
kota1263;kfe;Kota
kota1263;kfe;Kota
kota1263;kfe;Kota
kota1263;kfe;Kota
kota1263;kfe;Kota
kota1263;kfe;Kota
kota1263;kfe;Kota
kota1263;kfe;Kota
kota1263;kfe;Kota
kota1263;kfe;Kota
kota1263;kfe;Kota
kota1263;kfe;Kota
kota1263;kfe;Kota
kota1263;kfe;Kota
kota1263;kfe;Kota
kota1263;kfe;Kota
kota1263;kfe;Kota
kota1263;kfe;Kota
mund1320;unr;Mundari
mund1320;unr;Mundari
mund1320;unr;Mundari
mund1320;unr;Mundari
mund1320;unr;Mundari
mund1320;unr;Mundari
mund1320;unr;Mundari
mund1320;unr;Mundari
mund1320;unr;Mundari
mund1320;unr;Mundari
mund1320;unr;Mundari
mund1320;unr;Mundari
mund1320;unr;Mundari
mund1320;unr;Mundari
mund1320;unr;Mundari
mund1320;unr;Mundari
mund1320;unr;Mundari
mund1320;unr;Mundari
mund1320;unr;Mundari
mund1320;unr;Mundari
mund1320;unr;Mundari
mund1320;unr;Mundari
mund1320;unr;Mundari
mund1320;unr;Mundari
mund1320;unr;Mundari
mund1320;unr;Mundari
mund1320;unr;Mundari
mund1320;unr;Mundari
mund1320;unr;Mundari
mund1320;unr;Mundari
mund1320;unr;Mundari
mund1320;unr;Mundari
mund1320;unr;Mundari
mund1320;unr;Mundari
mund1320;unr;Mundari
mund1320;unr;Mundari
mund1320;unr;Mundari
khar1287;khr;Kharia
khar1287;khr;Kharia
khar1287;khr;Kharia
khar1287;khr;Kharia
khar1287;khr;Kharia
khar1287;khr;Kharia
khar1287;khr;Kharia
khar1287;khr;Kharia
khar1287;khr;Kharia
khar1287;khr;Kharia
khar1287;khr;Kharia
khar1287;khr;Kharia
khar1287;khr;Kharia
khar1287;khr;Kharia
khar1287;khr;Kharia
khar1287;khr;Kharia
khar1287;khr;Kharia
khar1287;khr;Kharia
khar1287;khr;Kharia
khar1287;khr;Kharia
khar1287;khr;Kharia
khar1287;khr;Kharia
khar1287;khr;Kharia
khar1287;khr;Kharia
khar1287;khr;Kharia
khar1287;khr;Kharia
khar1287;khr;Kharia
khar1287;khr;Kharia
khar1287;khr;Kharia
khar1287;khr;Kharia
khar1287;khr;Kharia
khar1287;khr;Kharia
khar1287;khr;Kharia
khar1287;khr;Kharia
khar1287;khr;Kharia
khar1287;khr;Kharia
khar1287;khr;Kharia
khar1287;khr;Kharia
khar1287;khr;Kharia
khar1287;khr;Kharia
khar1287;khr;Kharia
khas1269;kha;Khasi
khas1269;kha;Khasi
khas1269;kha;Khasi
khas1269;kha;Khasi
khas1269;kha;Khasi
khas1269;kha;Khasi
khas1269;kha;Khasi
khas1269;kha;Khasi
khas1269;kha;Khasi
khas1269;kha;Khasi
khas1269;kha;Khasi
khas1269;kha;Khasi
khas1269;kha;Khasi
khas1269;kha;Khasi
khas1269;kha;Khasi
khas1269;kha;Khasi
khas1269;kha;Khasi
khas1269;kha;Khasi
khas1269;kha;Khasi
khas1269;kha;Khasi
khas1269;kha;Khasi
khas1269;kha;Khasi
khas1269;kha;Khasi
khas1269;kha;Khasi
khas1269;kha;Khasi
khas1269;kha;Khasi
khas1269;kha;Khasi
khas1269;kha;Khasi
seda1262;sed;Sedang
seda1262;sed;Sedang
seda1262;sed;Sedang
seda1262;sed;Sedang
seda1262;sed;Sedang
seda1262;sed;Sedang
seda1262;sed;Sedang
seda1262;sed;Sedang
seda1262;sed;Sedang
seda1262;sed;Sedang
seda1262;sed;Sedang
seda1262;sed;Sedang
seda1262;sed;Sedang
seda1262;sed;Sedang
seda1262;sed;Sedang
seda1262;sed;Sedang
seda1262;sed;Sedang
seda1262;sed;Sedang
seda1262;sed;Sedang
seda1262;sed;Sedang
seda1262;sed;Sedang
seda1262;sed;Sedang
seda1262;sed;Sedang
seda1262;sed;Sedang
