Glottocode;ISO639P3code
bafa1247;bwt
bafa1247;bwt
nort2646;pbu
bafi1243;ksf
bafi1243;ksf
bafu1246;bfd
baga1275;bcg
mbul1258;mbv
mbul1258;mbv
mbul1258;mbv
baga1273;bgo
baga1273;bgo
baga1273;bgo
baga1270;bmd
baga1275;bcg
baga1275;bcg
baga1275;bcg
baga1272;bsp
baga1272;bsp
baga1272;bsp
baga1272;bsp
baga1272;bsp
bagh1251;bfy
bagi1246;bmi
bagi1246;bmi
bagi1244;fui
bago1245;bqg
bagr1243;bgq
shin1264;scl
bagu1252;bpi
bagu1251;bqb
bagu1251;bqb
bagv1239;kva
baha1256;yha
bahi1254;bjh
bahi1254;bjh
bahi1252;bhj
bahn1262;bdq
bahn1262;bdq
baha1259;abv
xiri1243;xir
baii1251;bdj
baib1251;bbf
baik1238;bkx
baim1245;bmx
bain1261;bcz
bain1259;bab
bais1246;bsw
bais1246;bsw
bais1246;bsw
baii1251;bdj
nort2646;pbu
west2560;bdr
indo1317;bdl
baka1272;bkc
baka1277;bkq
baka1273;bqz
baka1272;bkc
baka1272;bkc
baka1272;bkc
baka1272;bkc
baka1274;bdh
bakh1245;bqi
baki1244;bki
bako1249;bkh
bako1250;kme
akoo1248;bss
bakp1238;bbs
bakp1238;bbs
mokp1239;bri
orok1266;bdu
bakw1243;bjw
bakw1243;bjw
bakw1243;bjw
bakw1243;bjw
;
bala1314;bls
nort2662;hno
bala1310;blw
bala1311;sse
bala1301;ble
bala1302;bjt
bala1302;bjt
bala1302;bjt
bala1302;bjt
bala1302;bjt
bala1301;ble
bala1301;ble
bala1302;bjt
bala1301;ble
bala1301;ble
bala1301;ble
stan1289;cat
ndoe1238;nbb
ndoe1238;nbb
lese1243;les
bali1278;ban
wanu1241;wnk
moru1253;mgd
bali1245;bcn
bali1245;bcn
unea1237;bbn
balo1264;bqo
east2304;bgp
west2368;bgn
balo1261;biz
baka1273;bqz
balu1257;blq
bamb1265;bmo
bamb1269;bam
bamb1269;bam
bamb1269;bam
bamb1269;bam
bamb1262;myf
bamb1266;baw
bomi1238;zmx
bame1260;bce
bame1260;bce
yemb1246;ybb
bamu1257;bcf
bamu1254;bqt
bamu1253;bax
bamu1257;bcf
bamw1238;bmg
bamw1238;bmg
bana1305;bcw
bana1292;byz
bana1292;byz
bana1292;byz
bana1292;byz
vlax1238;rmy
jama1261;jaa
bana1305;bcw
band1343;bpd
band1345;bfl
band1348;yaj
band1352;bza
band1340;bqj
band1352;bza
baka1273;bqz
bang1353;bxg
bang1347;bgf
bang1345;bbe
bang1345;bbe
bang1345;bbe
bang1363;dba
bang1363;dba
bang1368;bgz
bang1339;bjb
bang1354;bni
bang1363;dba
nyis1236;njz
bang1356;bgj
bang1356;bgj
bang1350;bnx
bang1350;bnx
para1301;prk
